V,G,sl,tp,n_trades,expectancy_usdt,ci_low,ci_high,win_rate,profit_factor,total_net,cagr_pct,max_dd_pct,sharpe,n_tp,n_sl,n_time,nbr_min,nbr_mean,peak_concurrent
3,3,8,45,778,2.628476854167857,0.6702850625335716,4.666164402236059,80.20565552699229,1.2941397286565672,2044.9549925425927,39.035159693154675,2.6003386164691555,3.922976559243156,606,63,109,-0.574897442200476,-0.09833194002590993,14
5,3,8,95,704,3.5439996097037114,0.6055803144786832,6.176141363583703,66.19318181818183,1.253412196532262,2494.975725231413,45.051953926016594,4.519990868346001,3.5430049042950094,319,87,298,-0.5555235472858123,0.032736497779976705,15
5,3,8,90,704,3.465188384862494,0.5773674159847328,6.413955664503145,66.76136363636364,1.2512218573548561,2439.492622943196,43.94249749666122,4.239444307607237,3.451402071180937,340,86,278,-0.2558554765074004,0.18148129532902083,15
3,3,12,95,778,3.3763432827204554,0.5616684366886718,6.1594733133155115,66.45244215938303,1.244845114817019,2626.7950739565144,31.343314513096267,3.5477181301786773,3.1924965612746896,351,50,377,-0.8251398972421382,-0.30447571025720965,22
3,3,10,45,778,2.561023764244369,0.4241617769149378,4.42259034371689,80.59125964010283,1.2820520951459113,1992.4764885821191,35.18535763635702,3.1915435903010962,3.7455954611752746,609,45,124,-1.5598495816676707,-0.3186502157061388,15
3,3,9,95,778,3.146802078634513,0.4206592818953894,5.960029280851283,65.68123393316195,1.2270103090969284,2448.212017177651,29.052862911626764,3.3411800131457317,3.2411916230940148,348,80,350,-0.44328653201394613,0.03366034334440631,22
3,3,12,45,778,2.5307158856782253,0.4004852172514429,4.764480528308878,80.97686375321337,1.276103472167633,1968.8969590576594,34.73235903546901,4.140303501308197,3.444670101584991,612,36,130,-1.5182292240813984,-0.38353518397900116,15
3,3,8,95,778,3.2374911221482834,0.3979831699544023,5.707842787459863,65.29562982005142,1.2370228498351499,2518.7680930313645,31.496965539614784,3.278443960751729,3.334749795770112,347,92,339,-0.44296324350828503,0.00945724072430379,21
5,3,8,45,704,2.427347831919424,0.32697239813786416,4.324043077792381,79.54545454545455,1.260140219080184,1708.8528736712747,52.23028821569044,4.270972558065833,3.2924636833737027,545,60,99,-0.5774009090379483,0.03240627788692884,9
5,3,9,90,704,3.219375648617698,0.3253471221933055,5.951408459335455,67.04545454545455,1.228978047176782,2266.4404566268595,40.51412618054449,4.603859280336999,3.1308966578475173,340,75,289,-0.6431893093954958,-0.1701962826202187,15
8,2,11,45,958,1.8732394981358669,0.3011832415333871,3.451013129555284,81.94154488517745,1.264548525540932,1794.5634392141606,29.299422999250524,3.581912006850949,3.2382043068162156,775,32,151,-0.7600729276859076,-0.25160326655939075,16
3,3,8,90,778,3.0706946812807767,0.3001805432831953,5.578175696882826,65.80976863753213,1.2277043575638835,2389.0004620364443,29.750003713059357,3.2490385260647243,3.196759012496805,367,91,320,-0.49082633789900676,-0.0045141720177056055,21
1,3,10,45,896,2.09510191977443,0.2673901156070951,3.958642735947376,80.46875,1.234601094381462,1877.2113201178895,24.216585510584675,3.279916457424726,3.373190261948274,695,49,152,-1.6253287135839325,-0.5240643993379304,20
3,3,10,95,778,3.141132662011719,0.24769518422784031,5.903527670287316,65.93830334190231,1.2256262260053619,2443.8012110451173,28.99659006262125,3.4421852671282864,3.159498145210141,349,67,362,-1.092851308818816,-0.1787630213567042,22
8,3,8,45,575,2.7166976395849343,0.2383100518042726,5.0556520833719025,79.82608695652173,1.2912824442206436,1562.101142761337,53.90255743356735,5.269784764589991,3.3303385714242313,449,49,77,-1.8778969703790407,-0.4224522859493551,8
3,3,10,90,778,2.9931099000201606,0.2325667193931015,5.772787977959067,66.45244215938303,1.2181155718513412,2328.639502215685,27.53245157119879,3.4540277496606873,3.0240493965247475,369,66,343,-1.0504883851937803,-0.28330296925222204,22
5,3,12,90,704,3.2522498927878045,0.22414855167090442,6.140718325232957,67.75568181818183,1.2295510574117743,2289.5839245226143,38.16605019467587,4.665128639886413,2.879137734276073,342,48,314,-1.013524913865735,-0.391925602687825,16
5,3,8,75,704,2.913290373954158,0.20240813441029842,5.655131053161636,68.75,1.2222436163497152,2050.956423263727,42.490282351446936,4.681412781643409,3.0974979483871286,406,82,216,-0.3950134690257172,-0.04025066610782402,13
8,2,8,45,958,1.6523595915072076,0.1950897397739235,3.1518595086038568,81.41962421711901,1.227996823574355,1582.960488663905,25.614079594545004,2.9246121052725704,3.2806435358583443,771,54,133,-0.48218524677364777,-0.06168039461837016,16
3,3,9,45,778,2.3792859334496854,0.19483001527611005,4.483426556453801,80.33419023136247,1.2578013274009059,1851.0844562238553,32.48234216133534,2.9701351472343602,3.5420199742732263,607,56,115,-0.8705289745667079,-0.07758223348030087,15
