set,n_trades,n_paths,total_p5,total_p50,total_p95,ann_p5,ann_p50,ann_p95,mdd_p5,mdd_p50,mdd_p95,mdd_p99,p_loss,p_mdd_gt5,p_mdd_gt10
day IS 2026,181,10000,3033.07,4846.02,6680.83,73.32,117.14,161.49,2.11,3.53,6.27,8.08,0.0,15.44,0.15
day OOS 2025,171,10000,1170.95,2818.66,4428.36,11.71,28.19,44.28,2.55,4.48,8.42,11.06,0.16,38.75,2.03
