token,date,entry_ms,exit_ms,reason,net,dkimchi,in_band
FLUID,2025-11-17,1763352000000,1763395379999,TP,36.36577078715026,-0.13052154770354374,True
FLUID,2025-11-22,1763784000000,1763906400000,TIME,189.77011269955364,0.18769058237921854,True
G,2025-03-14,1741924800000,1742047200000,TIME,-30.622512615986405,0.19819249689650986,True
GAS,2025-07-20,1752984000000,1753106400000,TIME,0.016931022345402558,0.06432650059327027,True
GAS,2025-08-05,1754366400000,1754488800000,TIME,1.8057895604401786,0.5078827268630293,True
GLM,2025-01-11,1736568000000,1736669879999,TP,25.10232473397189,0.2359107083211187,True
GLM,2025-03-13,1741838400000,1741874039999,TP,54.891588027949375,0.6155234172240842,True
GLM,2025-07-27,1753588800000,1753599719999,SL,-130.8519999999998,-0.2608303598703454,True
GMT,2025-02-09,1739073600000,1739196000000,TIME,16.653395829142628,6.625953142672336,False
HIVE,2025-01-05,1736049600000,1736062499999,SL,-130.85199999999992,0.6394518908583446,True
HIVE,2025-01-11,1736568000000,1736690400000,TIME,-0.709068242468156,0.5371948177151475,True
HIVE,2025-01-24,1737691200000,1737713099999,SL,-132.30018575217017,0.5869942795068472,True
HIVE,2025-01-27,1737950400000,1737962339999,TP,40.61551390653777,0.2666981967661908,True
HIVE,2025-02-12,1739332800000,1739367179999,TP,22.861871824852827,-0.0312691350477623,True
HIVE,2025-03-02,1740888000000,1740984659999,TP,25.8513600862426,-0.05687484428384959,True
HIVE,2025-03-25,1742875200000,1742997600000,TIME,55.85842430629264,0.6710904370976101,True
HIVE,2025-05-03,1746244800000,1746316919999,TP,52.628078212547436,0.491347456190927,True
HIVE,2025-12-28,1766894400000,1766967599999,TP,134.41498404619023,2.2908566620166715,True
HOLO,2025-11-22,1763784000000,1763826599999,SL,-134.94885425632373,2.307173681063257,True
ID,2025-03-12,1741752000000,1741874400000,TIME,-40.02766623582592,0.8690039321310739,True
IMX,2025-05-02,1746158400000,1746270299999,TP,94.10640869319408,-0.09369801507792541,True
IOST,2025-01-09,1736395200000,1736517600000,TIME,0.03541608227435589,0.9737314843872191,True
IOST,2025-11-25,1764043200000,1764056819999,SL,-130.8519999999998,1.1866655450329278,True
IOTA,2025-01-02,1735790400000,1735912800000,TIME,-29.91510700721257,0.5541099792376158,True
JTO,2025-05-10,1746849600000,1746972000000,TIME,8.750297873594302,0.26732053936818767,True
KAITO,2025-09-09,1757390400000,1757512800000,TIME,51.03898672891961,0.7916583246952325,True
KAITO,2025-09-17,1758081600000,1758131999999,TP,38.69592587921364,0.44167633306351206,True
KAITO,2025-12-27,1766808000000,1766930400000,TIME,101.12745835480678,1.0710536240417623,True
KNC,2025-07-20,1752984000000,1752996659999,SL,-130.85199999999995,-0.13376322826555986,True
KNC,2025-07-28,1753675200000,1753797600000,TIME,157.25980658296524,0.743498138808163,True
LA,2025-09-24,1758686400000,1758758939999,TP,158.84058561420795,0.3038917219720272,True
LAYER,2025-12-25,1766635200000,1766757600000,TIME,-5.842047129228959,0.682250601757739,True
LPT,2025-08-17,1755403200000,1755456899999,TP,44.20542594043912,0.0525091792658916,True
LSK,2025-01-13,1736740800000,1736746679999,TP,35.41975288529226,0.5567859820664323,True
LSK,2025-07-24,1753329600000,1753332899999,TP,25.443720623843284,0.2066990848884842,True
LSK,2025-11-11,1762833600000,1762843859999,SL,-132.58839583474375,3.489351273988661,False
MANA,2025-08-31,1756612800000,1756683959999,TP,39.78907926968838,0.19606811656542877,True
MASK,2025-05-11,1746936000000,1746978899999,TP,59.366727034401244,0.6524659096465935,True
MASK,2025-07-13,1752379200000,1752501600000,TIME,-9.881277891717005,-0.04129087313757829,True
MASK,2025-12-28,1766894400000,1766967359999,TP,58.10353949849947,0.30278282620009866,True
ME,2025-04-11,1744344000000,1744466400000,TIME,2.497517542276392,-0.0348841266684774,True
ME,2025-07-13,1752379200000,1752501600000,TIME,-23.27902216197119,0.24842064242214246,True
ME,2025-09-22,1758513600000,1758520979999,TP,143.61461506263336,1.2155437562489713,True
ME,2025-10-27,1761537600000,1761551279999,SL,-130.85199999999992,0.05617005025384536,True
MIRA,2025-12-21,1766289600000,1766305319999,TP,43.793870890701676,0.4127865440805456,True
MOCA,2025-01-14,1736827200000,1736910359999,TP,34.32368709083479,-0.20522297919960408,True
MOCA,2025-02-23,1740283200000,1740367679999,TP,59.668374132837414,-0.4661302163907144,True
MOCA,2025-06-24,1750737600000,1750821359999,TP,116.13665218902301,-0.17955922168281235,True
MOCA,2025-07-13,1752379200000,1752501600000,TIME,126.38778011456873,0.07302050172690588,True
MOVE,2025-02-21,1740110400000,1740152039999,TP,29.17742373121195,-0.050411710322606496,True
NEWT,2025-07-29,1753761600000,1753779659999,TP,55.706502823020074,-0.1684574144551254,True
ONG,2025-08-25,1756094400000,1756166819999,TP,45.804450399438224,0.867641093341931,True
ONT,2025-01-13,1736740800000,1736863200000,TIME,1.5700477154395145,8.115602269999345,False
ONT,2025-08-25,1756094400000,1756117559999,SL,-142.46780777960177,0.3470397063602526,True
OPEN,2025-10-03,1759464000000,1759472579999,SL,-130.8519999999999,0.292430386701481,True
OPEN,2025-11-08,1762574400000,1762616459999,TP,36.243165032484704,0.6720081661476751,True
OPEN,2025-11-24,1763956800000,1764062759999,TP,64.8268908710221,0.2981367887038955,True
OPEN,2025-12-30,1767067200000,1767141119999,TP,51.881223749966985,0.446929169668675,True
ORCA,2025-12-12,1765512000000,1765553099999,TP,24.80087666569105,0.3687070426231509,True
ORDER,2025-11-22,1763784000000,1763788859999,TP,25.882438327597587,0.38392169697769596,True
POLYX,2025-07-28,1753675200000,1753688399999,TP,28.60948066767911,0.10029381707944429,True
POLYX,2025-12-22,1766376000000,1766400479999,SL,-133.5300074418987,0.6046601928274109,True
POWR,2025-07-14,1752465600000,1752517679999,TP,32.11577593146189,-0.26820973252986713,True
POWR,2025-11-30,1764475200000,1764547319999,TP,28.317292673462184,2.096726308702901,True
PROVE,2025-09-28,1759032000000,1759056719999,TP,31.823705843321953,0.37804481476124696,True
PUNDIX,2025-05-27,1748318400000,1748440800000,TIME,-10.333188068916717,-0.07894629505007522,True
PUNDIX,2025-06-07,1749268800000,1749391200000,TIME,-0.00012107879968237256,-0.09408045636851714,True
PUNDIX,2025-07-15,1752552000000,1752674400000,TIME,7.751347924895751,0.07411696462238382,True
PUNDIX,2025-07-20,1752984000000,1753106400000,TIME,-26.41407204445379,-0.0465686067336879,True
PUNDIX,2025-10-11,1760155200000,1760277600000,TIME,-94.42756925034773,-3.162055143942699,True
PYTH,2025-07-13,1752379200000,1752501600000,TIME,-21.592601606041576,0.06812570430956288,True
QTUM,2025-10-08,1759896000000,1760018400000,TIME,-10.909132083772345,0.5096094918392469,True
RED,2025-11-10,1762747200000,1762784219999,TP,32.17219739490807,0.7604481363148952,True
RED,2025-12-04,1764820800000,1764893759999,TP,127.5740489142994,2.1833742541037537,True
RLC,2025-08-27,1756267200000,1756300319999,TP,45.028861622344444,9.952039192739903e-10,True
SAFE,2025-03-27,1743048000000,1743077759999,SL,-140.2322657182753,0.5662536243855487,True
SAFE,2025-05-06,1746504000000,1746566879999,TP,96.67257659911525,0.25736276779144696,True
SAFE,2025-05-23,1747972800000,1748001659999,TP,56.39052498655249,0.10139861507936221,True
SAFE,2025-07-05,1751688000000,1751810400000,TIME,-42.555443365479654,-0.13151555365216172,True
SAFE,2025-07-14,1752465600000,1752519119999,TP,72.30872852496282,-0.5059181466692819,True
SAFE,2025-11-28,1764302400000,1764375479999,TP,126.38372066801972,7.254614670876225,False
SIGN,2025-12-01,1764561600000,1764684000000,TIME,-49.028125299650284,20.363371263489547,False
SONIC,2025-03-26,1742961600000,1743016559999,TP,33.244430905206436,-0.24553752781141247,True
SONIC,2025-04-23,1745380800000,1745503200000,TIME,40.48491567423436,0.06666730929844045,True
SONIC,2025-07-12,1752292800000,1752324599999,TP,34.27071218656063,-0.3164627597684433,True
SONIC,2025-11-22,1763784000000,1763789999999,TP,44.7764038223492,0.31290126890313186,True
STEEM,2025-03-25,1742875200000,1742997600000,TIME,6.91228296673582,0.652045152202263,True
STEEM,2025-04-27,1745726400000,1745798459999,TP,49.29451707017497,0.059768635469037434,True
STEEM,2025-12-18,1766030400000,1766036219999,TP,30.356977436086627,-0.1872421155849513,True
STEEM,2025-12-25,1766635200000,1766705879999,TP,40.78673235215741,-0.5111327575182067,True
STX,2025-04-21,1745208000000,1745330400000,TIME,-92.18359173279282,0.2550680475644107,True
SUPER,2025-10-16,1760587200000,1760629619999,TP,65.92925111796188,0.8671359997586725,True
