token,date,vp,gp,pp,entry_ms,exit_ms,reason,net
HIVE,2025-12-28,50,50,17,1766894400000,1766967599999,TP,134.41498404619023
HOLO,2025-11-22,50,50,27,1763784000000,1763826599999,SL,-134.94885425632373
ID,2025-03-12,50,50,30,1741752000000,1741874400000,TIME,-40.02766623582592
IMX,2025-05-02,50,50,9,1746158400000,1746270299999,TP,94.10640869319408
IOST,2025-01-09,50,50,31,1736395200000,1736517600000,TIME,0.03541608227435589
IOST,2025-11-25,50,50,7,1764043200000,1764056819999,SL,-130.8519999999998
IOTA,2025-01-02,50,50,10,1735790400000,1735912800000,TIME,-29.91510700721257
JTO,2025-05-10,50,50,27,1746849600000,1746972000000,TIME,8.750297873594302
KAITO,2025-09-09,50,50,10,1757390400000,1757512800000,TIME,51.03898672891961
KAITO,2025-09-17,50,43,5,1758081600000,1758131999999,TP,38.69592587921364
KAITO,2025-12-27,50,50,30,1766808000000,1766930400000,TIME,101.12745835480678
KNC,2025-07-20,47,47,7,1752984000000,1752996659999,SL,-130.85199999999995
KNC,2025-07-28,50,50,20,1753675200000,1753797600000,TIME,157.25980658296524
LA,2025-09-24,48,50,18,1758686400000,1758758939999,TP,158.84058561420795
LAYER,2025-12-25,50,50,15,1766635200000,1766757600000,TIME,-5.842047129228959
LPT,2025-08-17,50,50,9,1755403200000,1755456899999,TP,44.20542594043912
LSK,2025-01-13,50,50,21,1736740800000,1736746679999,TP,35.41975288529226
LSK,2025-07-24,50,50,22,1753329600000,1753332899999,TP,25.443720623843284
LSK,2025-11-11,50,50,24,1762833600000,1762843859999,SL,-132.58839583474375
MANA,2025-08-31,50,50,8,1756612800000,1756683959999,TP,39.78907926968838
MASK,2025-05-11,50,50,14,1746936000000,1746978899999,TP,59.366727034401244
MASK,2025-07-13,50,17,7,1752379200000,1752501600000,TIME,-9.881277891717005
MASK,2025-12-28,50,50,20,1766894400000,1766967359999,TP,58.10353949849947
ME,2025-04-11,41,50,10,1744344000000,1744466400000,TIME,2.497517542276392
ME,2025-07-13,50,50,5,1752379200000,1752501600000,TIME,-23.27902216197119
ME,2025-09-22,50,50,27,1758513600000,1758520979999,TP,143.61461506263336
ME,2025-10-27,50,50,5,1761537600000,1761551279999,SL,-130.85199999999992
MIRA,2025-12-21,50,50,10,1766289600000,1766305319999,TP,43.793870890701676
MOCA,2025-01-14,50,50,13,1736827200000,1736910359999,TP,34.32368709083479
MOCA,2025-02-23,50,50,25,1740283200000,1740367679999,TP,59.668374132837414
MOCA,2025-06-24,44,50,6,1750737600000,1750821359999,TP,116.13665218902301
MOCA,2025-07-13,50,50,51,1752379200000,1752501600000,TIME,126.38778011456873
MOVE,2025-02-21,50,50,8,1740110400000,1740152039999,TP,29.17742373121195
NEWT,2025-07-29,47,47,14,1753761600000,1753779659999,TP,55.706502823020074
ONG,2025-08-25,46,50,5,1756094400000,1756166819999,TP,45.804450399438224
ONT,2025-01-13,50,50,28,1736740800000,1736863200000,TIME,1.5700477154395145
ONT,2025-08-25,50,50,14,1756094400000,1756117559999,SL,-142.46780777960177
OPEN,2025-10-03,50,50,16,1759464000000,1759472579999,SL,-130.8519999999999
OPEN,2025-11-08,50,50,14,1762574400000,1762616459999,TP,36.243165032484704
OPEN,2025-11-24,50,50,22,1763956800000,1764062759999,TP,64.8268908710221
OPEN,2025-12-30,50,50,19,1767067200000,1767141119999,TP,51.881223749966985
ORCA,2025-12-12,50,27,6,1765512000000,1765553099999,TP,24.80087666569105
ORDER,2025-11-22,48,50,22,1763784000000,1763788859999,TP,25.882438327597587
POLYX,2025-07-28,50,50,11,1753675200000,1753688399999,TP,28.60948066767911
POLYX,2025-12-22,50,50,16,1766376000000,1766400479999,SL,-133.5300074418987
POWR,2025-07-14,40,40,12,1752465600000,1752517679999,TP,32.11577593146189
POWR,2025-11-30,50,50,9,1764475200000,1764547319999,TP,28.317292673462184
PROVE,2025-09-28,50,50,8,1759032000000,1759056719999,TP,31.823705843321953
