symbol,date,ref_entry,our_entry,entry_ok,ref_exit,our_exit,exit_ok,ref_reason,our_reason,reason_ok,ref_net,our_net,net_diff
SAFEUSDT,2026-01-18,0.2124,0.2124,True,0.18639,0.18639,True,TP,TP,True,114.19005159378912,113.96352711864411,-0.22652447514501262
SAHARAUSDT,2026-01-29,0.02606,0.02606,True,0.024845,0.024845,True,TP,TP,True,45.82317728319266,42.78757728319266,-3.0356000000000023
SAHARAUSDT,2026-02-25,0.01532,0.01532,True,0.01496,0.01496,True,TIME_EXIT,TIME_EXIT,True,22.41623215575735,22.29871451697134,-0.1175176387860084
SAHARAUSDT,2026-03-09,0.02331,0.02331,True,0.02479,0.02479,True,TIME_EXIT,TIME_EXIT,True,-155.9678292595541,-150.66612349206343,5.30170576749066
SIGNUSDT,2026-01-05,0.03988,0.03988,True,0.03908,0.03908,True,TIME_EXIT,TIME_EXIT,True,18.19270438135914,18.18665054162493,-0.006053839734207145
SIGNUSDT,2026-02-28,0.03118,0.03118,True,0.025024,0.025024,True,TP,TP,True,194.36662169928795,194.32529272610643,-0.04132897318152118
SKRUSDT,2026-03-01,0.022691,0.022691,True,0.0218648,0.0218648,True,TP,TP,True,33.70297290063898,33.406251815257114,-0.2967210853818685
SKRUSDT,2026-03-07,0.024779,0.024779,True,0.0233615,0.0233615,True,TP,TP,True,48.19891399958831,48.14630837362277,-0.05260562596553342
SKRUSDT,2026-05-13,0.017124,0.017124,True,0.0165462,0.0165462,True,TP,TP,True,33.08985359729034,33.09211632796074,0.0022627306703952854
SOMIUSDT,2026-01-03,0.2624,0.2624,True,0.25493,0.25493,True,TP,TP,True,27.66798780487817,27.71798780487817,0.05000000000000071
SOMIUSDT,2026-01-28,0.2674,0.2674,True,0.302162,0.302162,True,SL,SL,True,-133.1368635938667,-133.13598999999985,0.0008735938668564813
SOMIUSDT,2026-04-26,0.2113,0.2113,True,0.1838499999999999,0.18384999999999999,True,TP,TP,True,126.90708726928544,126.86068045433035,-0.046406814955091136
SONICUSDT,2025-07-12,0.2322,0.2322,True,0.22338,0.22338,True,TP,TP,True,35.88900217829455,35.883676124030984,-0.005326054263562696
SONICUSDT,2025-11-22,0.0902,0.0902,True,0.08642,0.08642,True,TP,TP,True,41.10687361419075,40.59714361419075,-0.5097299999999976
SONICUSDT,2026-02-09,0.04108,0.04108,True,0.039928,0.039928000000000005,True,TP,TP,True,26.964108719503233,26.96490323271649,0.0007945132132576305
SONICUSDT,2026-02-18,0.05225,0.05225,True,0.046472,0.046472,True,TP,TP,True,108.96124189307372,107.24363205741625,-1.7176098356574698
SONICUSDT,2026-03-17,0.0465,0.0465,True,0.044997,0.044997,True,TP,TP,True,24.962406077877677,25.06017064516123,0.09776456728355143
SONICUSDT,2026-05-10,0.04294,0.04294,True,0.0485221999999999,0.048522199999999995,True,SL,SL,True,-143.95319737618547,-143.4760199999999,0.47717737618557976
SOPHUSDT,2026-01-04,0.014123,0.014123,True,0.013196,0.013196000000000001,True,TP,TP,True,64.08678216604824,62.62881240529626,-1.457969760751979
SOPHUSDT,2026-02-28,0.009766,0.009766,True,0.0090784,0.0090784,True,TP,TP,True,56.50513967438052,56.53298635060413,0.0278466762236107
STEEMUSDT,2025-12-18,0.06507,0.06507,True,0.062703,0.06270300000000001,True,TP,TP,True,35.5762102351313,29.822850235131302,-5.753359999999997
STEEMUSDT,2025-12-25,0.06776,0.06776,True,0.0645739999999999,0.06457399999999999,True,TP,TP,True,44.07554792199835,40.215230200708504,-3.860317721289846
STEEMUSDT,2026-01-27,0.06861,0.06861,True,0.065946,0.065946,True,TP,TP,True,37.87884111632705,37.877739160472224,-0.001101955854828418
STEEMUSDT,2026-02-18,0.06326,0.06326,True,0.053036,0.053036,True,TP,TP,True,136.31082180863257,119.52418640847293,-16.78663540015964
STEEMUSDT,2026-02-24,0.06171,0.06171,True,0.05691,0.05691,True,TIME_EXIT,TIME_EXIT,True,-40.28231189293147,-68.71427061254256,-28.431958719611096
STEEMUSDT,2026-03-01,0.06277,0.06277,True,0.05933,0.05933,True,TIME_EXIT,TIME_EXIT,True,14.480964836616389,12.425819960172142,-2.0551448764442473
STEEMUSDT,2026-03-08,0.05916,0.05916,True,0.05959,0.05959,True,TIME_EXIT,TIME_EXIT,True,-30.475453042917508,-30.229654611223797,0.24579843169371074
STEEMUSDT,2026-03-14,0.06311,0.06311,True,0.06159,0.06159,True,TIME_EXIT,TIME_EXIT,True,5.550116808962072,5.500771072730167,-0.049345736231904525
STEEMUSDT,2026-03-29,0.06009,0.06009,True,0.057489,0.057489,True,TP,TP,True,37.407889700449296,28.811522391412865,-8.596367309036431
STEEMUSDT,2026-05-23,0.0542,0.0542,True,0.052022,0.052022,True,TP,TP,True,31.468983479704747,31.377571845018437,-0.09141163468630964
STORJUSDT,2026-02-16,0.1137,0.1137,True,0.1056,0.1056,True,TIME_EXIT,TIME_EXIT,True,55.871560994174104,55.48790554089707,-0.38365545327703643
SUPERUSDT,2025-11-22,0.2189,0.2189,True,0.20432,0.20432,True,TP,TP,True,65.80575605299228,58.03051605299228,-7.775239999999997
SUPERUSDT,2025-12-21,0.2374,0.2374,True,0.22597,0.22597,True,TP,TP,True,38.3515397352305,38.19350803706822,-0.1580316981622829
SUPERUSDT,2026-01-25,0.2074,0.2074,True,0.20056,0.20056000000000002,True,TP,TP,True,27.289591958108907,24.426529276759812,-2.8630626813490956
SUPERUSDT,2026-02-16,0.1345,0.1345,True,0.1307,0.1307,True,TIME_EXIT,TIME_EXIT,True,11.705546227613857,11.336308104089202,-0.3692381235246547
SUPERUSDT,2026-03-26,0.1296,0.1296,True,0.11592,0.11592,True,TP,TP,True,70.96122037800461,69.45011555555556,-1.511104822449056
SUPERUSDT,2026-05-24,0.1307,0.1307,True,0.1235,0.1235,True,TIME_EXIT,TIME_EXIT,True,21.28354530538559,20.043777758225023,-1.239767547160568
