period,s_entry,s_exit,s_stop,n_trades,expectancy,ci_low,win_rate,pf,ann_return_pct,mdd_pct
OOS_2025,0.2,0.3,0.05,171,14.21,3.34,67.8,1.6,24.3,4.2
OOS_2025,0.2,0.3,0.1,171,14.13,2.85,67.8,1.6,24.17,4.23
OOS_2025,0.2,0.3,0.2,171,13.97,2.31,67.8,1.59,23.89,4.27
OOS_2025,0.2,0.3,0.3,171,13.81,2.54,67.8,1.58,23.62,4.32
OOS_2025,0.2,0.3,0.5,171,13.5,2.2,67.8,1.55,23.08,4.41
OOS_2025,0.2,0.3,0.75,171,13.1,1.03,67.8,1.53,22.4,4.52
OOS_2025,0.2,0.3,1.0,171,12.7,0.99,67.8,1.51,21.72,4.64
OOS_2025,0.3,0.05,0.05,171,14.23,3.33,67.8,1.61,24.34,4.14
OOS_2025,0.3,0.05,0.1,171,14.15,2.08,67.8,1.6,24.2,4.16
OOS_2025,0.3,0.05,0.2,171,14.0,2.49,67.8,1.59,23.93,4.21
OOS_2025,0.3,0.05,0.3,171,13.84,2.13,67.8,1.58,23.66,4.26
OOS_2025,0.3,0.05,0.5,171,13.52,3.2,67.8,1.56,23.12,4.35
OOS_2025,0.3,0.05,0.75,171,13.12,2.05,67.8,1.54,22.44,4.46
OOS_2025,0.3,0.05,1.0,171,12.73,1.17,67.8,1.51,21.76,4.58
OOS_2025,0.3,0.1,0.05,171,14.07,2.98,67.8,1.6,24.07,4.17
OOS_2025,0.3,0.1,0.1,171,13.99,1.87,67.8,1.6,23.93,4.19
OOS_2025,0.3,0.1,0.2,171,13.84,3.04,67.8,1.58,23.66,4.24
OOS_2025,0.3,0.1,0.3,171,13.68,1.8,67.8,1.57,23.39,4.29
OOS_2025,0.3,0.1,0.5,171,13.36,1.73,67.8,1.55,22.85,4.38
OOS_2025,0.3,0.1,0.75,171,12.96,-0.19,67.8,1.53,22.17,4.49
OOS_2025,0.3,0.1,1.0,171,12.57,0.03,67.8,1.5,21.49,4.61
OOS_2025,0.3,0.15,0.05,171,13.91,2.91,67.8,1.59,23.79,4.2
OOS_2025,0.3,0.15,0.1,171,13.84,1.92,67.8,1.59,23.66,4.23
OOS_2025,0.3,0.15,0.2,171,13.68,2.27,67.8,1.58,23.39,4.27
OOS_2025,0.3,0.15,0.3,171,13.52,1.86,67.8,1.57,23.12,4.32
OOS_2025,0.3,0.15,0.5,171,13.2,1.46,67.8,1.54,22.57,4.41
OOS_2025,0.3,0.15,0.75,171,12.8,0.57,67.8,1.52,21.89,4.52
OOS_2025,0.3,0.15,1.0,171,12.41,0.89,67.8,1.5,21.22,4.64
OOS_2025,0.3,0.2,0.05,171,13.76,2.34,67.8,1.58,23.52,4.23
OOS_2025,0.3,0.2,0.1,171,13.68,2.34,67.8,1.58,23.39,4.26
OOS_2025,0.3,0.2,0.2,171,13.52,2.93,67.8,1.57,23.11,4.3
OOS_2025,0.3,0.2,0.3,171,13.36,2.02,67.8,1.56,22.84,4.35
OOS_2025,0.3,0.2,0.5,171,13.04,1.39,67.8,1.54,22.3,4.44
OOS_2025,0.3,0.2,0.75,171,12.64,0.75,67.8,1.51,21.62,4.55
OOS_2025,0.3,0.2,1.0,171,12.25,0.93,67.8,1.49,20.94,4.67
OOS_2025,0.3,0.3,0.05,171,13.44,2.21,67.8,1.56,22.98,4.3
OOS_2025,0.3,0.3,0.1,171,13.36,2.28,67.8,1.56,22.84,4.32
OOS_2025,0.3,0.3,0.2,171,13.2,1.01,67.8,1.55,22.57,4.36
OOS_2025,0.3,0.3,0.3,171,13.04,1.81,67.8,1.54,22.3,4.41
OOS_2025,0.3,0.3,0.5,171,12.72,0.81,67.8,1.52,21.75,4.5
OOS_2025,0.3,0.3,0.75,171,12.33,0.61,67.8,1.49,21.08,4.62
OOS_2025,0.3,0.3,1.0,171,11.93,-0.4,67.8,1.47,20.4,4.73
