symbol,token,date,vp,gp,pp,start_price,entry_price,exit_price,sl_price,tp_price,actual_growth,exit_reason,exit_ms,gross_ret,funding_ret,funding_events,net_ret,net_ret_usdt
AXLUSDT,AXL,2026-02-03,39,37,13,0.0619,0.0697,0.06268,0.07876099999999998,0.06268,0.1260096930533119,TP,1770141359999,0.1007173601147776,-0.014600410000000001,4,0.0853169501147776,85.31695011477761
AXLUSDT,AXL,2026-03-25,40,40,8,0.05025,0.0523,0.050455,0.05909899999999999,0.050455,0.04079601990049753,TP,1774451819999,0.03527724665391968,-0.00246066,3,0.03201658665391968,32.01658665391968
AXLUSDT,AXL,2026-04-21,40,27,12,0.05413,0.06001,0.054717999999999996,0.06781129999999999,0.054717999999999996,0.10862737853316107,TP,1776802019999,0.08818530244959182,-0.00732156,5,0.08006374244959182,80.06374244959181
AXLUSDT,AXL,2026-04-23,35,40,14,0.05622,0.05917,0.05914,0.0668621,0.056514999999999996,0.05247242974030586,TIME_EXIT,1777039200000,0.0005070136893696509,-0.011725540000000003,9,-0.012018526310630353,-12.018526310630353
AXSUSDT,AXS,2025-08-31,40,40,22,2.291,2.686,2.381,3.0351799999999995,2.3305,0.1724137931034484,TIME_EXIT,1756735200000,0.11355174981384965,-0.00232376,4,0.11042798981384966,110.42798981384966
AXSUSDT,AXS,2026-02-14,40,40,11,1.395,1.49,1.4045,1.6836999999999998,1.4045,0.06810035842293916,TP,1771159919999,0.05738255033557041,-0.023474039999999998,9,0.03310851033557041,33.108510335570415
AXSUSDT,AXS,2026-02-20,40,26,6,1.253,1.329,1.2606,1.5017699999999998,1.2606,0.06065442936951326,TP,1771594319999,0.051467268623024844,-0.02128997,3,0.029377298623024843,29.377298623024842
AZTECUSDT,AZTEC,2026-03-07,40,40,12,0.02043,0.02143,0.02053,0.0242159,0.02053,0.04894762604013714,TP,1772945699999,0.04199720018665429,-0.002295,7,0.03890220018665429,38.902200186654284
AZTECUSDT,AZTEC,2026-05-13,40,40,12,0.02339,0.02613,0.023664,0.0295269,0.023664,0.11714407866609666,TP,1778683799999,0.09437428243398391,0.00015000000000000001,3,0.09372428243398391,93.72428243398392
BARDUSDT,BARD,2026-04-04,40,40,14,0.2974,0.3112,0.29878,0.3516559999999999,0.29878,0.046402151983859996,TP,1775384819999,0.039910025706940834,-0.0466432,31,-0.007533174293059171,-7.5331742930591705
BERAUSDT,BERA,2026-01-14,40,40,29,0.5851,0.7066,0.7984579999999999,0.7984579999999999,0.59725,0.2076568108015724,SL,1768389659999,-0.12999999999999984,-0.00491259,2,-0.13571258999999983,-135.71258999999984
BIGTIMEUSDT,BIGTIME,2025-06-24,40,40,13,0.05152,0.05347,0.051715000000000004,0.06042109999999999,0.051715000000000004,0.03784937888198736,TP,1750771979999,0.03282214325790149,0.00010501,3,0.03212715325790149,32.12715325790149
BIGTIMEUSDT,BIGTIME,2025-07-27,40,40,12,0.06695,0.07323,0.067578,0.0827499,0.067578,0.09380134428678133,TP,1753708439999,0.07718148299877105,0.00027545000000000005,9,0.07665693299877105,76.65693299877105
BIGTIMEUSDT,BIGTIME,2025-08-29,40,40,23,0.05689,0.06206,0.057407,0.07012779999999999,0.057407,0.09087713130602904,TP,1756456199999,0.07497582984208827,-0.00259063,2,0.07158519984208828,71.58519984208827
BLURUSDT,BLUR,2026-04-01,40,40,22,0.01733,0.01996,0.022554799999999996,0.022554799999999996,0.017593,0.15175995383727625,SL,1775030339999,-0.1299999999999999,0.0,0,-0.1307999999999999,-130.7999999999999
BSVUSDT,BSV,2025-06-17,40,40,9,31.0,33.08,31.208,37.380399999999995,31.208,0.06709677419354843,TP,1750208699999,0.056590084643289,-0.0014705500000000002,6,0.054319534643288994,54.319534643288996
BSVUSDT,BSV,2025-07-05,40,24,6,23.54,24.65,23.651,27.854499999999994,23.651,0.04715378079864063,TP,1751739719999,0.04052738336713991,-0.0005148899999999999,4,0.03921249336713991,39.212493367139906
BSVUSDT,BSV,2025-08-24,40,40,6,26.23,27.77,26.83,31.380099999999995,26.384,0.058711399161265776,TIME_EXIT,1756130400000,0.03384947785379911,-0.00676678,9,0.02628269785379911,26.282697853799107
BSVUSDT,BSV,2026-01-05,40,40,14,18.59,20.14,20.7,22.7582,18.745,0.08337816030123735,TIME_EXIT,1767708000000,-0.02780536246276061,-0.00338767,9,-0.03199303246276061,-31.993032462760613
BSVUSDT,BSV,2026-03-29,40,40,6,13.47,13.88,13.511000000000001,15.6844,13.511000000000001,0.03043801039346694,TP,1774793219999,0.026585014409221883,-0.00041736999999999997,3,0.025367644409221884,25.367644409221885
CARVUSDT,CARV,2026-02-21,40,40,10,0.06151,0.06693,0.062052,0.0756309,0.062052,0.08811575353601042,TP,1771732439999,0.07288211564320933,0.00030000000000000003,6,0.07238211564320933,72.38211564320933
CARVUSDT,CARV,2026-03-18,40,40,9,0.06068,0.06324,0.060936,0.0714612,0.060936,0.042188529993408164,TP,1773830699999,0.03643263757115761,-0.00083823,2,0.03479440757115761,34.794407571157606
CARVUSDT,CARV,2026-04-05,40,40,7,0.05613,0.05833,0.05635,0.0659129,0.05635,0.039194726527703505,TP,1775480279999,0.03394479684553407,0.00045000000000000004,9,0.03359479684553407,33.59479684553407
CARVUSDT,CARV,2026-04-17,36,40,4,0.05629,0.05879,0.0664327,0.0664327,0.05654,0.04441286196482497,SL,1776471179999,-0.12999999999999992,-0.0049542,6,-0.1357541999999999,-135.7541999999999
CARVUSDT,CARV,2026-04-22,40,40,5,0.05614,0.0588,0.056406000000000005,0.06644399999999999,0.056406000000000005,0.047381546134663166,TP,1776911339999,0.040714285714285606,-0.0005145199999999999,6,0.039399765714285606,39.39976571428561
CFGUSDT,CFG,2026-03-28,40,40,13,0.1422,0.1636,0.1622,0.18486799999999998,0.14434,0.15049226441631514,TIME_EXIT,1774792800000,0.008557457212713842,-0.03774047,9,-0.029983012787286156,-29.983012787286157
CKBUSDT,CKB,2025-07-26,40,40,25,0.005225,0.006213,0.007020689999999999,0.007020689999999999,0.0053238,0.1890909090909092,SL,1753512299999,-0.12999999999999984,0.0,0,-0.13079999999999983,-130.79999999999984
CKBUSDT,CKB,2025-08-27,40,40,16,0.004865,0.005735,0.004952000000000001,0.006480549999999999,0.004952000000000001,0.17882836587872553,TP,1756325159999,0.13653007846556217,-0.00174895,2,0.13398112846556218,133.98112846556216
CKBUSDT,CKB,2026-02-12,40,40,11,0.001616,0.001671,0.0016215000000000001,0.0018882299999999999,0.0016215000000000001,0.0340346534653464,TP,1770913139999,0.02962298025134641,0.0002,2,0.02902298025134641,29.02298025134641
CKBUSDT,CKB,2026-02-18,40,40,7,0.001626,0.001688,0.0016322,0.0019074399999999998,0.0016322,0.038130381303812966,TP,1771419959999,0.03305687203791466,6.996e-05,1,0.03232683203791466,32.326832037914656
CYBERUSDT,CYBER,2025-11-20,40,40,23,0.829,0.95,0.8411,1.0735,0.8411,0.14595898673100116,TP,1763659079999,0.11463157894736842,-0.0108857,4,0.10294587894736842,102.94587894736843
CYBERUSDT,CYBER,2025-11-27,40,40,20,0.79,0.84,0.8207,0.9491999999999998,0.795,0.06329113924050622,TIME_EXIT,1764338400000,0.02297619047619046,-0.01052462,9,0.01165157047619046,11.65157047619046
CYBERUSDT,CYBER,2025-11-29,40,40,27,0.8067,0.8375,0.8653,0.946375,0.8097799999999999,0.03818024048593038,TIME_EXIT,1764511200000,-0.03319402985074619,-0.016040130000000003,9,-0.05003415985074619,-50.03415985074619
CYBERUSDT,CYBER,2025-12-31,40,40,37,0.721,0.8561,0.73451,0.9673929999999998,0.73451,0.18737864077669908,TP,1767234179999,0.14202780049059688,-0.0403941,6,0.10083370049059688,100.83370049059688
CYBERUSDT,CYBER,2026-02-03,40,40,47,0.5817,0.6622,0.58975,0.7482859999999999,0.58975,0.1383874849578821,TP,1770139019999,0.1094080338266385,-0.014784740000000001,4,0.0938232938266385,93.82329382663849
CYBERUSDT,CYBER,2026-02-18,40,40,30,0.5623,0.711,0.57717,0.8034299999999999,0.57717,0.2644495820736261,TP,1771506239999,0.18822784810126583,-0.05162869,9,0.13579915810126583,135.79915810126585
CYBERUSDT,CYBER,2026-02-22,40,40,16,0.5789,0.6337,0.58438,0.716081,0.58438,0.09466229055104525,TP,1771795859999,0.07782862553258645,-0.013368989999999999,5,0.06365963553258645,63.65963553258646
