vp,gp,pp,sl,tp,n_trades,expectancy_usdt,expectancy_pct,ci_low,ci_high,win_rate,avg_win,avg_loss,profit_factor,peak_concurrent,total_net,max_dd_pct,cagr_pct,calmar,sharpe,sortino,n_tp,n_sl,n_time,eligible
20,10,2,10,45,269,6.201724454711806,0.6201724454711806,-0.950143004070372,12.446285392463047,80.29739776951673,30.341810281847227,-92.18051212380237,1.3414678029463734,6,1668.2638783174757,8.775181625393223,80.94412252589962,9.224210504278018,2.9826410892248725,5.162212170251205,215,43,11,True
20,10,2,10,75,269,12.897597664082856,1.2897597664082854,4.879898612192823,21.094837556221982,72.4907063197026,47.59171324222349,-78.52608527831474,1.5970565100931091,6,3469.4537716382883,7.365559456155839,201.32078406594687,27.332721331533214,4.6458847567926504,8.168970831764211,160,48,61,True
20,10,2,10,90,268,14.134922056722338,1.4134922056722339,5.984751347824386,23.208461125601413,70.8955223880597,51.06202685543083,-75.81571783756758,1.6405814498169573,6,3788.1591112015867,7.479605148127398,226.42186772497433,30.27190115532523,4.755709221401862,9.490089483115344,131,48,89,True
20,10,2,10,95,267,14.970641558876162,1.4970641558876163,6.21176848737046,23.22104102988643,70.78651685393258,51.87715172223892,-74.45667152927207,1.6882614625567636,6,3997.161296219935,7.5052463518563135,243.52540970465841,32.447357260221835,4.834157228334936,10.314098999724722,121,47,99,True
20,10,2,11,45,269,7.826292751970612,0.7826292751970612,1.0949668602131761,14.570567005410139,82.15613382899627,31.021332836311696,-98.96753763634979,1.4431740953819525,6,2105.2727502800944,7.921429053127042,106.88468581814715,13.493106496479147,3.8512456951292324,7.044322503628362,219,37,13,True
20,10,2,11,75,269,15.172359695316175,1.5172359695316173,6.926726928047368,23.59129974606992,74.34944237918215,49.052661352889096,-83.03141322518505,1.712383561679485,6,4081.364758040051,5.998191171295955,250.5612406701756,41.77280008500295,5.528757603414894,10.779721653570054,164,42,63,True
20,10,2,11,90,268,16.822214976014372,1.6822214976014371,7.491644582329762,25.20990693240528,72.76119402985076,53.02675285561334,-79.88853689414725,1.7730554480037168,6,4508.353613571851,4.91300157174157,287.53500381403813,58.52532298541728,5.362497738749598,13.286238921690444,135,42,91,True
20,10,2,11,95,267,17.48758408930489,1.748758408930489,8.057296473719136,27.036500384323837,72.65917602996255,53.53112645912425,-78.29936412637946,1.8168832328352171,6,4669.184951844405,4.934996563410728,302.0279758947579,61.201253539681716,5.446178970024423,15.663813320876043,123,41,103,True
20,10,2,12,45,269,9.440969837163978,0.9440969837163977,2.2525776091456247,16.54443625260158,83.64312267657994,31.36072426434654,-102.64868348365594,1.562293197980176,6,2539.62088619711,6.642447366945242,134.70859923970897,20.279964868078338,4.498060996034274,7.6198447136386145,223,32,14,True
20,10,2,12,75,269,17.600313321872857,1.7600313321872858,8.902360769211764,25.7575448069143,76.2081784386617,49.55452712780534,-84.75302777525461,1.872845712688459,7,4734.484283583799,4.434100743089216,248.61139391589444,56.06805264931534,6.1262844545518975,11.676100213209315,167,36,66,True
20,10,2,12,90,268,19.34711755247633,1.934711755247633,10.515386468881612,28.626187445966377,74.6268656716418,53.559584812074654,-81.27778615222464,1.938145686309854,7,5185.027504063656,3.95262444316673,281.8504710671461,71.30717201185335,6.039731354559739,13.416941153976476,137,36,95,True
20,10,2,12,95,267,19.567405565952996,1.9567405565952996,10.169980591893346,28.728128558851946,74.15730337078652,54.31251111948802,-80.13594080506054,1.9448613345264332,7,5224.49728610945,4.075628443505711,284.8471734745225,69.89036842365027,5.950621383560368,15.318312478380838,125,36,106,True
20,10,2,13,45,269,9.66558826035534,0.9665588260355341,2.6205254536740705,16.901901694836667,84.01486988847584,31.35391006344273,-104.32419610005745,1.5795982539832967,6,2600.0432420355864,6.437349653222727,138.7429915887191,21.552812735480394,4.409017378574374,7.522129687048046,224,28,17,True
20,10,2,13,75,269,17.79173970869694,1.7791739708696943,9.23127481737127,26.74260012706563,76.57992565055763,49.60964135086107,-86.24774820060162,1.8808102942441574,7,4785.977981639477,4.570756749576743,252.32073485864547,55.203273480263555,6.07151031759439,12.557093925446543,168,32,69,True
20,10,2,13,90,268,19.534357644467967,1.9534357644467968,9.535193137633694,28.691928369263763,75.0,53.5896102790562,-82.63140025929674,1.9456142620441765,7,5235.207848717415,4.379372268217355,285.66273189462635,65.22915029804186,5.993907079878915,13.6459247482308,137,32,99,True
20,10,2,13,95,267,19.755346931697414,1.9755346931697413,9.847473923701536,29.427059758584285,74.53183520599251,54.33905480067334,-81.45285697898213,1.9523151374261791,7,5274.67763076321,4.238453014595286,288.6769108895194,68.10902701892617,5.900800473769881,15.129029974395126,125,32,110,True
20,10,2,14,45,269,9.307118404349112,0.9307118404349111,1.6176558790755853,16.812788484509422,84.01486988847584,31.35391006344273,-106.56671682716618,1.5463582149680446,6,2503.614850769911,6.927527288672854,132.32362939324224,19.10113434119611,4.352773317799439,6.391611685075367,224,26,19,True
20,10,2,14,75,269,17.26990130825807,1.7269901308258069,7.950631646881113,26.03674404252298,76.57992565055763,49.60964135086107,-88.47591533898343,1.8334441870373688,7,4645.603451921421,4.956261617479116,242.26295671661728,48.880179339652884,5.957137813407661,11.479840137773872,168,30,71,True
20,10,2,14,90,268,19.010572085818506,1.9010572085818505,10.1217717309767,28.508629360392266,75.0,53.5896102790562,-84.7265424938946,1.897502554748456,7,5094.833318999359,4.75504042097534,275.05405914361154,57.84473627822353,5.807203747481516,12.28894631750759,137,30,101,True
20,10,2,14,95,267,19.229599629382605,1.9229599629382605,9.654980231836968,28.105427997421472,74.53183520599251,54.33905480067334,-83.5171882983653,1.9040588998107946,7,5134.303101045156,4.585350338381872,278.0194244738284,60.63210092076387,5.701623228741944,12.77295466810746,125,30,112,True
20,10,3,10,45,250,7.116633526150936,0.7116633526150936,0.1584785270047724,14.538216100069365,80.80000000000001,31.150290093208998,-94.0250045268851,1.3942121545420505,6,1779.1583815377342,9.618602220439513,87.33425722856012,9.079724395190704,3.2561029978672673,5.711895254898054,201,40,9,True
20,10,3,10,75,250,14.170250980034812,1.4170250980034813,5.546563915584151,22.669552618311382,72.8,49.17284816275706,-79.51317089136887,1.6551934776589998,6,3542.562745008703,7.366386046275086,206.9748747503774,28.09720715832387,4.816328105171859,8.55914118062871,150,45,55,True
20,10,3,10,90,249,15.296066400679626,1.5296066400679624,6.234820267265705,24.641277063283503,71.08433734939759,52.64582957693385,-76.522101407612,1.6912891220873905,6,3808.7205337692267,7.49532114326934,228.08181185535946,30.42989186129439,4.877282919167834,9.584336851010763,122,45,82,True
20,10,3,10,95,248,16.126502999725904,1.6126502999725905,6.6353524465145055,24.854819446743285,70.96774193548387,53.42590018882408,-75.04980124029186,1.740133121577159,6,3999.372743932024,7.527061077258049,243.7091239494502,32.377726372618774,4.936912569933774,9.887071399610859,112,44,92,True
20,10,3,11,45,250,8.984717014001411,0.8984717014001411,1.4550889967708618,15.71195748875504,82.8,31.856242196976343,-101.11774142497092,1.5165930932540568,6,2246.179253500353,8.711660479941939,115.68580160399051,13.279420366570752,4.2240793442442115,8.175267260571387,205,34,11,True
20,10,3,11,75,250,16.73794292564186,1.673794292564186,8.507154099231375,25.4221649715131,74.8,50.69308317628892,-84.04953686596129,1.7902531163379436,6,4184.485731410465,6.432338517919757,259.2919284996818,40.310678266904674,5.767768631996546,11.546978491055935,154,39,57,True
20,10,3,11,90,249,18.308943920238924,1.8308943920238925,9.068273083579376,27.772972051633456,73.09236947791165,54.707382084780406,-80.56442542224688,1.8445872573401378,6,4558.927036139492,5.281724456957828,292.0587066534168,55.29608919084677,5.535852356766403,14.01629842188006,126,39,84,True
