V,G,sl,tp,n_trades,expectancy_usdt,expectancy_pct,ci_low,ci_high,win_rate,avg_win,avg_loss,profit_factor,peak_concurrent,total_net,max_dd_pct,cagr_pct,calmar,sharpe,sortino,n_tp,n_sl,n_time,eligible
1,2,8,45,1898,0.24755965472120312,0.02475596547212031,-0.7058897434009563,1.2510333648073313,79.03055848261327,9.272174839215959,-33.76480913106305,1.0349646113565614,56,469.8682246608435,2.7919356790200025,2.0402408966054386,0.7307621418132325,0.6145467441449765,0.8987016192541093,1471,88,339,True
1,2,8,75,1898,0.15359835052479628,0.01535983505247963,-1.0468105594743344,1.3551662383794023,67.38672286617492,14.832553291747775,-30.17658479943351,1.0156070931885197,84,291.52966929606333,1.9616554209762136,0.8409819048831535,0.4287103106337813,0.30403083128272235,0.4178163506315157,1116,115,667,True
1,2,8,90,1898,0.08004502900703346,0.008004502900703347,-1.0933546361891904,1.364341475579882,63.751317175974705,16.771286072677317,-29.27518994605262,1.0075429705935195,90,151.92546505534952,2.054166040725378,0.40852937149999935,0.19887845646388802,0.14730537860238138,0.199122213232009,957,123,818,True
1,2,8,95,1898,0.05394699419617083,0.005394699419617083,-1.2899351871314628,1.289656354067837,62.80295047418335,17.365386908687377,-29.174433144718158,1.0049711438707642,91,102.39139498433224,2.062687990578349,0.2721975234803109,0.13196252885730453,0.0966436638233919,0.13182646109136936,908,126,864,True
1,2,9,45,1898,0.42234230849462995,0.04223423084946299,-0.4985478842533001,1.4235119031426424,79.29399367755532,9.290096006300052,-33.53686714493326,1.0608199076963671,56,801.6057015228076,2.8672095703899227,3.495266882110326,1.2190482754404979,1.0400468169827322,1.4857337316767463,1476,71,351,True
1,2,9,75,1898,0.35724937869979,0.035724937869979004,-0.9389080423525066,1.6055579500933286,67.75553213909379,14.874604176074437,-30.14817263016262,1.0367498249466958,84,678.0593207722014,2.0589038545746496,1.9623848084821427,0.9531211494514168,0.6853929871644985,0.9067242450316645,1123,95,680,True
1,2,9,90,1898,0.25875878745455866,0.025875878745455865,-1.0526188146293478,1.5227289582916577,64.12012644889357,16.83144003310036,-29.357912396027007,1.024565128107765,90,491.12417858875233,2.1804711656728992,1.3241649809753842,0.6072838759905101,0.46098555503636357,0.6000361496504288,964,103,831,True
1,2,9,95,1898,0.22259139227440614,0.022259139227440612,-1.1325773725954176,1.6016976617216239,63.17175974710221,17.43206665681237,-29.296952015709877,1.0206302722161846,91,422.47846253682286,2.2014845409414012,1.1259171033736415,0.5114353893632956,0.3848419350509976,0.5051549986920851,915,106,877,True
1,2,10,45,1898,0.4011454213287211,0.04011454213287211,-0.6415951200751153,1.469963800468218,79.39936775553214,9.288320202728139,-33.8519809100496,1.0575224271742774,56,761.3740096819126,2.6495024997489782,3.3181638139725855,1.252372403606699,0.9982236786023895,1.4283591190033054,1478,60,360,True
1,2,10,75,1898,0.2922260576940623,0.02922260576940623,-0.9782966424762415,1.531365259182768,67.8082191780822,14.874631027014011,-30.423903558533066,1.0298372643015323,85,554.6450575033302,2.0109089481613744,1.5845919014805254,0.7879978369629109,0.5654973855039328,0.7494941006448714,1124,80,694,True
