symbol,date,vp,gp,pp,entry_price,exit_price,exit_reason,funding_ret,funding_events,net_ret_usdt
MEUSDT,2025-09-22,50,50,27,0.8574,0.74292,TP,0.0,0,132.71994401679498
MEUSDT,2025-10-27,50,50,5,0.478,0.54014,SL,0.0,0,-130.79999999999995
MEUSDT,2026-03-16,50,50,4,0.121,0.13673,SL,-0.002482512347107438,2,-133.2825123471074
MEWUSDT,2025-12-07,50,50,3,0.001159,0.0011158000000000001,TP,0.0,0,36.47351164797236
MINAUSDT,2026-02-10,50,50,16,0.0661,0.06331,TP,-0.009973717140695915,3,31.435057443267787
MINAUSDT,2026-04-01,50,50,23,0.05965,0.05646,TIME_EXIT,-0.016127745948030174,4,36.550879366303406
MINAUSDT,2026-04-10,50,50,17,0.06017,0.056318,TP,-0.008275077402359981,3,54.943536524846294
MINAUSDT,2026-05-04,50,50,12,0.06172,0.06282,TIME_EXIT,-0.002826460813350616,4,-21.448884662994228
MIRAUSDT,2025-12-21,50,50,10,0.1362,0.12999,TP,-0.0035270695741556534,2,41.26764408223196
MOCAUSDT,2025-06-24,44,50,6,0.08025,0.070683,TP,0.0002815638629283489,6,118.69651713395648
MOCAUSDT,2025-07-13,50,50,51,0.09514,0.08288,TIME_EXIT,-0.0008541446142526801,9,127.20858399621618
MOCAUSDT,2026-01-15,50,50,8,0.02434,0.023566,TP,-0.004851650431388661,3,26.147856552999194
MOCAUSDT,2026-04-18,46,50,5,0.01435,0.013828,TP,0.00029902439024390246,6,35.87533101045295
MOODENGUSDT,2026-04-06,50,50,11,0.04759,0.045987999999999994,TP,-0.0028767214919100653,5,29.985812653919016
MOVEUSDT,2025-12-27,35,37,10,0.03647,0.035237,TP,-0.0006569226103646833,1,32.3516872059228
MOVEUSDT,2026-01-15,50,50,17,0.04123,0.037809999999999996,TP,-0.02891928438273102,4,53.23002437302951
MTLUSDT,2026-01-13,50,50,15,0.43,0.4012,TIME_EXIT,-0.01490494446744186,4,51.27179971860463
MTLUSDT,2026-05-23,50,50,23,0.324,0.3061,TIME_EXIT,-0.03380768962962963,4,20.639223950617367
