bin,left,right,n,expectancy,ci_low,ci_high,win_rate
"[-inf,0)",-inf,0.0,27,23.663380624444354,1.8844596683489108,49.49606968495384,77.77777777777779
"[0,0.5)",0.0,0.5,54,12.612532509180223,-6.485569620497593,30.05854632225539,72.22222222222221
"[0.5,1)",0.5,1.0,36,29.94793043236473,8.746496724335788,50.82135848554584,86.11111111111111
"[1,1.5)",1.0,1.5,21,49.24153263939822,26.90826370815145,69.37794816859625,90.47619047619048
"[1.5,2)",1.5,2.0,9,75.1912623974879,46.7169771570716,107.56609839486632,100.0
"[2,2.5)",2.0,2.5,8,37.18772199415234,-52.6400735478271,125.34652704964158,75.0
"[2.5,3)",2.5,3.0,7,-0.8202701055148184,-84.42900478622498,81.43714180525512,57.14285714285714
"[3,inf)",3.0,inf,18,26.52054465100038,-34.68222181912855,90.99758076124482,55.55555555555556
