vp,gp,pp,sl,tp,n_trades,expectancy_usdt,ci_low,ci_high,win_rate,profit_factor,total_net,cagr_pct,max_dd_pct,sharpe,n_tp,n_sl,n_time,nbr_min,nbr_mean,peak_concurrent
40,15,5,12,95,181,26.634059364811076,15.852643979282927,38.60713848015197,76.24309392265194,2.3462474452619206,4820.764745030805,315.973702409263,3.883330378864388,6.841557462026119,80,24,77,11.304402411431871,14.031589670439274,6
40,25,5,13,95,179,26.891599622447554,15.720566096985179,38.13862095176142,76.53631284916202,2.3484997414833284,4813.596332418112,315.3079037249608,3.061808993869603,6.69132175401512,78,21,80,13.62820748800618,14.306218114280975,6
40,15,5,13,90,181,26.788527374642435,15.632303323466356,38.19476154858903,76.79558011049724,2.358340391216642,4848.723454810281,318.576471700474,3.0322156867810484,6.84636532943231,88,21,72,13.725832813380817,14.66633421657529,6
40,15,3,13,95,197,25.893467368619977,15.550102179878213,35.79939105397423,76.6497461928934,2.358888480939127,5101.013071618136,342.49489344984346,3.700215889256934,6.817765127777014,91,22,84,12.276738724103648,14.05646824719482,6
40,10,5,13,90,181,26.788527374642435,15.540895639958155,39.046466971378585,76.79558011049724,2.358340391216642,4848.723454810281,318.576471700474,3.0322156867810484,6.84636532943231,88,21,72,13.300095307381108,14.63034517176759,6
40,15,5,13,95,181,27.02572474983344,15.40681765228504,39.061133174543336,76.79558011049724,2.3703677330300446,4891.656179719853,322.5917659672536,3.047637288706443,6.79501463750459,80,21,80,13.58026005545506,14.820463536424734,6
40,20,5,13,95,181,27.02572474983344,15.332809770827385,38.23301025664274,76.79558011049724,2.3703677330300446,4891.656179719853,322.5917659672536,3.047637288706443,6.79501463750459,80,21,80,13.478182759696157,14.663706955758586,6
40,10,5,12,95,181,26.634059364811076,15.225331235342914,37.91758006023255,76.24309392265194,2.3462474452619206,4820.764745030805,315.973702409263,3.883330378864388,6.841557462026119,80,24,77,12.858545712043334,14.471834744425863,6
40,10,3,13,95,198,25.96895981025516,15.20473866210086,37.01658048338657,76.76767676767676,2.3697683442149358,5141.854042430522,346.4402742898634,3.683108089106539,6.870912160451547,92,22,84,12.76865239654401,14.580640012333903,6
40,10,4,13,95,187,26.000467686953737,15.068828361121206,37.545334789773555,76.47058823529412,2.306532743382066,4862.087457460349,319.8239346044347,3.7303036429761627,6.570671247685275,84,22,81,11.897297174749205,14.046822365135966,6
40,10,3,12,95,198,25.661447513845825,15.05383452206477,36.901370732931,76.26262626262627,2.3530822151602067,5080.966607741473,340.5658438571736,3.865214723091473,6.94265937464395,92,25,81,12.138343591393896,14.057645124090795,6
40,10,5,13,95,181,27.02572474983344,15.032319511464815,38.39416809327667,76.79558011049724,2.3703677330300446,4891.656179719853,322.5917659672536,3.047637288706443,6.79501463750459,80,21,80,13.204626024550835,14.768241948417298,6
40,10,2,12,95,203,25.00430180403525,14.99250366281778,36.42983583426902,76.35467980295566,2.3095805022086653,5075.873266219156,340.07650418731464,3.865214723091473,6.767870055497258,94,26,83,10.105466271452629,13.459438026081102,6
40,25,5,12,95,179,26.49555808787187,14.955312827505297,38.608538972008326,75.97765363128491,2.3244484412520636,4742.704897729065,308.75717871153415,3.9067912754266807,6.735962841331855,78,24,77,12.356735734290138,13.931744337000586,6
40,25,3,13,95,195,25.758734483673823,14.951099719804024,36.54418032887446,76.41025641025641,2.338093665118638,5022.953224316396,335.01109662486107,3.0258408885032866,6.717779568282693,89,22,84,11.992716496665125,13.917933365878627,6
40,10,5,12,90,181,26.39686198962007,14.886179165666176,37.53510835824778,76.24309392265194,2.3342580464248956,4777.832020121233,311.995469268171,3.9025485554798096,6.908096989060147,88,24,69,11.172100053801378,13.831870561525026,6
40,20,5,12,95,181,26.634059364811076,14.86494536292698,38.133970500994124,76.24309392265194,2.3462474452619206,4820.764745030805,315.973702409263,3.883330378864388,6.841557462026119,80,24,77,12.41263631056797,14.520864648711392,6
40,15,5,14,90,181,26.178503182164,14.837745503305296,38.088253258417794,76.79558011049724,2.2875811222431968,4738.309075971684,248.88612111222596,2.5259338322973153,6.6687379668631825,88,20,73,12.300494441338207,13.687164668536,7
40,15,3,12,90,197,25.261905949994183,14.8359022889281,36.8413642785547,76.14213197969542,2.325287754332364,4976.595472148854,330.60204440354744,3.8852368009113776,6.871824715842969,99,25,73,11.666195788824925,13.528916460701943,6
40,20,4,12,95,187,25.674866431932085,14.826154329276465,37.268937860706224,75.93582887700535,2.289723139637978,4801.2000227713,314.1580158326824,3.865214723091473,6.63895926705434,84,25,78,11.35093533711401,13.553554088923988,6
